Computer 323;Production;Operational;DELL;Precision T5820;Standard workstations;POMA BEIJING ROPEWAY CO. LTD;CHN-HUAIROU;16/07/2021;16/07/2018;Shared;Intel(R) Xeon(R) W-2133 CPU @ 3.60GHz;140
Computer 1165;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;;25/10/2018;Permanent;Intel(R) Xeon(R) W-2133 CPU @ 3.60GHz;140
Computer 440;Inactive;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;18/02/2022;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 480;Inactive;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;20/10/2021;01/08/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1042;Inactive;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-GILLY;02/07/2021;02/07/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1249;Inactive;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 328;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;12/08/2021;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 329;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;06/10/2021;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 330;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;08/07/2021;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 395;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;;01/06/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
